Sample	Test-Sample 1	Test-Sample 2	Test-Sample 3	Test-Sample 4	Test-Sample 5	Test-Sample 6	Test-Sample 7	Test-Sample 8	Test-Sample 9	Test-Sample 10
RNU6-897P	4.858448552	4.662376425	4.874575677	4.681696628	4.900615673	4.668584362	5.989545503	4.760007987	4.846894427	4.590937296
RNU6-898P	5.83032125	4.548362638	5.005197853	4.831836715	5.451751815	4.731509115	7.061009292	5.351183071	5.033555151	4.57113676
RNU6-899P	6.800822264	6.272538345	6.650491731	6.244544607	6.795026608	6.315405012	8.118697143	6.750579709	6.643380022	6.120277282
RNU6-900P	4.500043547	4.385562185	4.338624082	4.433607139	4.529733508	4.523637225	4.453734856	4.29579648	4.447903138	4.402012659
RNU6-901P	5.544068022	5.194477151	5.445531391	5.287634818	5.518799483	5.139923745	6.771859175	5.522761979	5.496037251	5.283388439
RNU6-903P	4.189626916	4.033317273	4.103514425	4.150064071	4.141645321	4.067328945	4.241283434	4.217564204	4.10800583	4.072114378
RNU6-905P	4.460611523	4.191388936	4.194055524	4.091775986	4.288491455	4.016808288	4.330544059	4.404889501	4.055360534	4.015907854
RNU6-906P	7.062089323	6.526092293	7.253488243	6.856724308	6.825874649	6.39521193	7.737348759	6.961403388	6.744457141	6.495888596
RNU6-908P	4.273224934	4.151858817	4.31823006	4.252998396	4.245457633	4.132708439	4.879411709	4.273172705	4.256867247	4.080589449
RNU6-909P	5.669469033	5.65593852	5.73379088	5.6178891	5.699934686	5.594990367	6.215709655	5.522705494	5.593078832	5.647515989
RNU6-910P	5.054831116	4.995660888	5.289487764	4.948100863	4.758169904	5.079203151	5.537100339	5.020128789	4.824859482	4.846744023
RNU6-912P	9.174646102	8.06674041	8.22554969	8.114804265	9.155883285	7.974993846	9.953519889	8.95003092	8.477899899	7.520932916
RNU6-913P	5.590290621	5.108139687	5.255198566	5.034941987	5.142160168	4.975217457	6.245556509	5.217533185	5.138171435	4.852543242
RNU6-915P	4.10634832	4.079028169	4.147388113	4.17981357	4.147624187	4.209266193	4.499954284	4.232138837	4.153083808	4.156606954
RNU6-916P	5.47143461	5.513061158	5.490563713	5.496168309	5.66368618	5.553083981	5.807411598	5.508761398	5.499552536	5.517162289
RNU6-917P	4.381989317	4.540870414	4.373627333	4.887110924	4.503043371	4.74909442	5.001090626	4.465132103	4.537159371	4.718471228
RNU6-918P	5.382106941	4.810304278	5.326655986	5.135932919	5.361887643	5.017138009	7.038787331	5.910948474	5.373575135	4.904541901
RNU6-919P	4.63423894	4.574888658	4.425855374	4.409872886	4.559112429	4.376818238	5.430740226	4.631651448	4.369194251	4.33184134
RNU6-920P	7.62050577	7.405439334	7.941129792	7.428804011	7.875067384	7.913062928	8.266852116	7.701244074	7.837268397	7.528930698
RNU6-921P	5.583473954	5.144637851	4.986674874	4.851294302	5.780709043	4.678500142	5.981446267	5.486508443	4.937400893	4.788215871
RNU6-922P	5.85220114	5.119949569	5.190725468	5.132515153	5.42209505	5.028922711	6.53542936	5.557633713	5.164311629	5.027052288
RNU6-923P	4.04506722	4.044035587	4.172415507	3.98531826	3.976262809	3.997816272	4.111039661	3.991499171	4.043125739	4.006701958
RNU6-924P	4.409866099	4.840322231	4.679316819	4.486991045	4.671049883	4.186983805	4.775303439	5.028741523	4.541074926	4.286260182
RNU6-925P	8.222519618	7.678916987	8.97403594	7.709070023	7.787308386	8.008299754	7.90358665	7.5987225	7.049097064	7.684054277
RNU6-926P	4.717506442	4.822051973	4.681516732	4.494780398	4.654320964	4.38291621	5.117686732	4.792293154	4.579777526	4.636282393
RNU6-927P	4.203647524	4.118201891	4.143964767	4.264588974	4.148893442	4.14295251	4.28084499	4.213969334	4.212234694	4.163836824
